year,name,Humanitarian,Education,Health,Refugees in Donor Countries,Environment Protection
2017,Sweden,0.0989,0.0314,0.0732,0.1162,0.0283
2017,Switzerland,0.0983,0.0454,0.0541,0.0859,0.0256
2017,United Kingdom,0.0939,0.0517,0.1107,0.0201,0.0235
2017,United States,0.1814,0.043,0.2675,0.0368,0.0222
2018,"DAC Countries, Total",0.101,0.0587,0.1069,0.0541,0.0242
2018,Australia,0.0597,0.0655,0.0944,,0.0111
2018,Austria,0.0482,0.1146,0.0235,0.0344,0.0106
2018,Belgium,0.0904,0.0559,0.0609,0.0742,0.0309
2018,Canada,0.129,0.0492,0.1561,0.0892,0.0086
2018,Czechia,0.0912,0.0467,0.0222,0.0499,0.0152
2018,Denmark,0.1387,0.051,0.0642,0.0203,0.0347
2018,Estonia,0.0969,0.0712,0.0235,0.0362,0.02
2018,Finland,0.074,0.0539,0.0379,0.0393,0.0178
2018,France,0.0268,0.0781,0.0449,0.0388,0.0302
2018,Germany,0.0971,0.0828,0.0419,0.1132,0.0347
2018,Greece,0.0685,0.0351,0.0231,0.0534,0.0129
2018,Hungary,0.0491,0.1901,0.0357,0.0106,0.0046
2018,Iceland,0.0974,0.0144,0.041,0.1318,0.0011
2018,Ireland,0.1531,0.0541,0.0813,0.0433,0.0146
2018,Italy,0.0672,0.039,0.0429,0.1416,0.0134
2018,Japan,0.0366,0.0381,0.0438,0.0,0.0062
2018,Korea,0.0513,0.0816,0.0779,0.0006,0.0225
2018,Latvia,0.0814,0.0378,0.0225,0.0184,0.0147
2018,Lithuania,0.0829,0.0608,0.0205,0.0105,0.0145
2018,Luxembourg,0.122,0.0967,0.1062,,0.0063
2018,Netherlands,0.0606,0.0393,0.0869,0.085,0.0138
2018,New Zealand,0.0782,0.1217,0.0434,0.0278,0.0102
2018,Norway,0.1225,0.0784,0.1092,0.0197,0.0903
2018,Poland,0.0835,0.1005,0.0198,0.0048,0.0115
2018,Portugal,0.0551,0.1085,0.0297,0.0138,0.0098
2018,Romania,0.0803,0.1402,0.0174,0.0011,0.0126
2018,Slovak Republic,0.0785,0.0468,0.0269,0.0034,0.0114
2018,Slovenia,0.0692,0.1136,0.0193,0.0181,0.0178
2018,Spain,0.0558,0.0408,0.031,0.0577,0.0135
2018,Sweden,0.0999,0.0355,0.0676,0.0659,0.0478
2018,Switzerland,0.0985,0.0474,0.0533,0.076,0.0247
2018,United Kingdom,0.0894,0.052,0.1115,0.0188,0.0242
2018,United States,0.1921,0.0457,0.2663,0.0428,0.0179
2019,"DAC Countries, Total",0.109,0.0605,0.0962,0.0504,0.0235
2019,Australia,0.0763,0.0572,0.0879,,0.0116
2019,Austria,0.0539,0.1046,0.0227,0.0155,0.0184
2019,Belgium,0.0896,0.0567,0.0583,0.0429,0.0232
2019,Canada,0.1114,0.0559,0.1395,0.0793,0.0261
2019,Czechia,0.0911,0.046,0.0244,0.0119,0.0136
2019,Denmark,0.1608,0.0391,0.0543,0.0164,0.0142
2019,Estonia,0.0977,0.0623,0.0209,0.0082,0.012
2019,Finland,0.07,0.049,0.0303,0.0543,0.009
2019,France,0.0298,0.0825,0.0488,0.064,0.0297
2019,Germany,0.0883,0.0961,0.0446,0.0942,0.0348
2019,Greece,0.0562,0.0284,0.0161,0.2317,0.0099
2019,Hungary,0.0685,0.2445,0.0285,0.0011,0.0085
2019,Iceland,0.0933,0.0787,0.0681,0.1148,0.0009
2019,Ireland,0.1427,0.0531,0.0806,0.0623,0.013
2019,Italy,0.0641,0.0439,0.0462,0.0621,0.0173
2019,Japan,0.033,0.0412,0.0443,0.0,0.0105
2019,Korea,0.0509,0.0851,0.07,0.0004,0.0138
2019,Latvia,0.0842,0.0478,0.0201,0.0168,0.0123
2019,Lithuania,0.0823,0.0631,0.0186,0.0103,0.0122
2019,Luxembourg,0.1242,0.1017,0.1212,0.0004,0.0049
2019,Netherlands,0.0528,0.028,0.0774,0.0713,0.0171
2019,New Zealand,0.0735,0.1177,0.0405,0.0263,0.0197
2019,Norway,0.1252,0.0718,0.0996,0.0115,0.0877
2019,Poland,0.0716,0.1297,0.0267,0.0044,0.0102
2019,Portugal,0.0614,0.116,0.0341,0.0111,0.0098
2019,Romania,0.0843,0.1499,0.0164,0.0009,0.0111
2019,Slovak Republic,0.0763,0.0481,0.0235,0.0042,0.0115
2019,Slovenia,0.0645,0.1256,0.0167,0.0159,0.015
2019,Spain,0.0575,0.0359,0.0273,0.0622,0.0164
2019,Sweden,0.1066,0.0346,0.0722,0.0387,0.0297
2019,Switzerland,0.1002,0.0456,0.0527,0.0744,0.0172
2019,United Kingdom,0.1104,0.0526,0.1153,0.0245,0.0231
2019,United States,0.2282,0.0406,0.2169,0.0524,0.0162
2020,"DAC Countries, Total",0.1028,0.055,0.1167,0.0411,0.0216
2020,Australia,0.0813,0.0489,0.139,,0.0112
2020,Austria,0.0618,0.1022,0.0217,0.015,0.0131
2020,Belgium,0.0901,0.0521,0.0584,0.0386,0.0207
2020,Canada,0.1117,0.0565,0.132,0.1042,0.0122
2020,Czechia,0.0983,0.0465,0.0302,0.0107,0.0147
2020,Denmark,0.1355,0.0461,0.05,0.0165,0.014
2020,Estonia,0.1131,0.0532,0.0267,0.0075,0.0125
2020,Finland,0.093,0.0552,0.0471,0.0326,0.01
2020,France,0.0239,0.0769,0.0436,0.0519,0.0436
2020,Germany,0.0709,0.0902,0.0815,0.0679,0.0336
2020,Greece,0.0549,0.0288,0.0174,0.1453,0.0102
2020,Hungary,0.0557,0.2105,0.0535,0.0043,0.0071
2020,Iceland,0.085,0.0868,0.1547,0.0855,0.0013
2020,Ireland,0.1447,0.048,0.0864,0.0266,0.0132
2020,Italy,0.0673,0.0428,0.0465,0.0314,0.0143
2020,Japan,0.0285,0.0309,0.08,0.0,0.0088
2020,Korea,0.0642,0.0736,0.2357,0.0005,0.0078
2020,Latvia,0.0779,0.0463,0.0223,0.0137,0.0103
2020,Lithuania,0.0828,0.0602,0.0193,0.0092,0.0107
2020,Luxembourg,0.1387,0.0808,0.0901,0.0003,0.0058
2020,Netherlands,0.0724,0.0263,0.0768,0.0817,0.0138
2020,New Zealand,0.0701,0.1167,0.0939,0.014,0.0153
2020,Norway,0.1156,0.0695,0.1242,0.0092,0.0733
2020,Poland,0.0882,0.1197,0.0249,0.0047,0.0097
2020,Portugal,0.0556,0.1057,0.0301,0.0134,0.011
2020,Romania,0.0694,0.1443,0.0268,0.0009,0.0097
2020,Slovak Republic,0.0685,0.039,0.0262,0.004,0.0095
2020,Slovenia,0.0669,0.139,0.0209,0.018,0.0099
2020,Spain,0.0661,0.0376,0.0394,0.0395,0.0091
2020,Sweden,0.0959,0.0279,0.0666,0.0168,0.0228
2020,Switzerland,0.1472,0.0433,0.079,0.0735,0.0156
2020,United Kingdom,0.0966,0.0377,0.1214,0.0311,0.0174
2020,United States,0.2179,0.0344,0.254,0.0366,0.0114
2021,"DAC Countries, Total",0.112,0.0488,0.144,0.0538,0.021
2021,Australia,0.0956,0.0556,0.2098,,0.0134
2021,Austria,0.0885,0.1034,0.0419,0.0281,0.0131
2021,Belgium,0.0904,0.0495,0.0666,0.065,0.0219
2021,Canada,0.1151,0.0422,0.2608,0.061,0.0126
2021,Czechia,0.0961,0.0393,0.0584,0.01,0.0118
2021,Denmark,0.1372,0.0326,0.0718,0.0168,0.0212
2021,Estonia,0.0996,0.0584,0.0585,,0.0148
2021,Finland,0.0791,0.0606,0.0402,0.0311,0.0114
2021,France,0.0265,0.0702,0.08,0.0459,0.0386
2021,Germany,0.0868,0.0842,0.1064,0.0616,0.0338
2021,Greece,0.0613,0.0286,0.0766,0.0642,0.0101
2021,Hungary,0.0484,0.229,0.1202,0.0023,0.0071
2021,Iceland,0.1291,0.0874,0.1934,0.0538,0.0097
2021,Ireland,0.1535,0.0423,0.0894,0.0305,0.0163
2021,Italy,0.0651,0.0383,0.1028,0.0549,0.0136
2021,Japan,0.0484,0.0268,0.0815,0.0,0.0094
2021,Korea,0.0574,0.0624,0.185,0.0001,0.0117
2021,Latvia,0.0825,0.0357,0.0531,0.0212,0.0106
2021,Lithuania,0.0833,0.0653,0.0507,0.0126,0.0109
2021,Luxembourg,0.1296,0.087,0.112,,0.0038
2021,Netherlands,0.0714,0.0238,0.0935,0.0622,0.0215
2021,New Zealand,0.0681,0.084,0.1242,0.0154,0.0248
2021,Norway,0.1246,0.0684,0.1518,0.0092,0.0731
2021,Poland,0.0847,0.1105,0.0578,0.0101,0.0101
2021,Portugal,0.0644,0.1113,0.071,0.0142,0.0116
2021,Romania,0.0749,0.1288,0.0399,0.0007,0.0098
2021,Slovak Republic,0.0751,0.0371,0.0747,0.004,0.01
2021,Slovenia,0.0735,0.122,0.0907,0.0127,0.0161
2021,Spain,0.0736,0.033,0.1072,0.0412,0.0174
2021,Sweden,0.1149,0.0297,0.0893,0.0114,0.0295
2021,Switzerland,0.0926,0.0437,0.1169,0.0782,0.0119
2021,United Kingdom,0.0668,0.0369,0.1125,0.0644,0.0189
2021,United States,0.2244,0.0241,0.2565,0.0841,0.0101
2022,"DAC Countries, Total",0.1077,0.0436,0.125,0.1165,0.0171
2022,Australia,0.1288,0.0657,0.1592,0.0,0.0103
2022,Austria,0.0938,0.0872,0.0375,0.1442,0.0121
2022,Belgium,0.0972,0.0489,0.0646,0.0802,0.0172
2022,Canada,0.0971,0.0314,0.148,0.0813,0.0087
2022,Czechia,0.0685,0.0202,0.0252,0.4746,0.0069
2022,Denmark,0.1587,0.0341,0.0646,0.1021,0.0302
2022,Estonia,0.0476,0.0206,0.0135,0.5601,0.0047
2022,Finland,0.0835,0.0412,0.0435,0.1895,0.0109
2022,France,0.037,0.0669,0.0698,0.0572,0.0269
2022,Germany,0.0956,0.0756,0.0879,0.1018,0.0248
2022,Greece,0.0733,0.0293,0.0624,0.1188,0.0127
2022,Hungary,0.1354,0.3277,0.1146,0.0,0.005
2022,Iceland,0.2146,0.0556,0.0992,0.057,0.0082
2022,Ireland,0.105,0.0246,0.0502,0.4067,0.0128
2022,Italy,0.0831,0.0571,0.0713,0.147,0.0104
2022,Japan,0.0319,0.0283,0.1072,0.0022,0.0051
2022,Korea,0.06,0.0709,0.1329,0.003,0.018
2022,Latvia,0.0579,0.0244,0.0681,0.3381,0.0069
2022,Lithuania,0.1944,0.0383,0.0278,0.216,0.0077
2022,Luxembourg,0.1589,0.0695,0.1127,0.0,0.004
2022,Netherlands,0.0837,0.0227,0.0797,0.111,0.023
2022,New Zealand,0.0721,0.0657,0.11,0.0245,0.0336
2022,Norway,0.1296,0.0453,0.0878,0.085,0.0646
2022,Poland,0.0863,0.0438,0.0174,0.5067,0.0061
2022,Portugal,0.0994,0.0923,0.0552,0.0163,0.0102
2022,Romania,0.097,0.1054,0.0316,0.0213,0.0105
2022,Slovak Republic,0.091,0.0392,0.085,0.0044,0.0121
2022,Slovenia,0.0831,0.0869,0.042,0.1049,0.0111
2022,Spain,0.0746,0.0298,0.0723,0.1431,0.0118
2022,Sweden,0.121,0.028,0.0855,0.053,0.0307
2022,Switzerland,0.1081,0.0382,0.0522,0.2364,0.012
2022,United Kingdom,0.0883,0.0276,0.1012,0.2347,0.0266
2022,United States,0.1868,0.02,0.2443,0.1127,0.0083
2023,"DAC Countries, Total",0.1061,0.0427,0.0793,0.1081,0.0206
2023,Australia,0.1112,0.0551,0.1211,0.0,0.0165
2023,Austria,0.0824,0.0971,0.0281,0.0942,0.0169
2023,Belgium,0.1042,0.0492,0.062,0.0842,0.0167
2023,Canada,0.0722,0.0384,0.1057,0.148,0.0171
2023,Czechia,0.0682,0.0255,0.0299,0.3748,0.01
2023,Denmark,0.1406,0.0318,0.0385,0.0702,0.0367
2023,Estonia,0.089,0.055,0.0297,0.2137,0.0155
2023,Finland,0.0971,0.04,0.0425,0.1054,0.0133
2023,France,0.0514,0.0799,0.0677,0.0498,0.0364
2023,Germany,0.0625,0.0598,0.0356,0.1162,0.0217
2023,Greece,0.0815,0.0311,0.0303,0.083,0.0139
2023,Hungary,0.0383,0.3337,0.2281,0.0061,0.0012
2023,Iceland,0.2158,0.0422,0.105,0.0744,0.0217
2023,Ireland,0.0979,0.0264,0.0451,0.4258,0.0122
2023,Italy,0.0773,0.0468,0.0427,0.1771,0.0161
2023,Japan,0.0501,0.0276,0.0637,0.0013,0.0079
2023,Korea,0.0487,0.065,0.1097,0.0003,0.0318
2023,Latvia,0.0911,0.0276,0.0549,0.2142,0.0074
2023,Lithuania,0.1916,0.0764,0.0627,0.1172,0.0094
2023,Luxembourg,0.1747,0.0883,0.1027,0.0,0.0141
2023,Netherlands,0.0959,0.0206,0.0713,0.1364,0.0178
2023,New Zealand,0.0774,0.0699,0.0493,0.0155,0.047
2023,Norway,0.1545,0.0333,0.0645,0.0611,0.0547
2023,Poland,0.078,0.0591,0.0213,0.3845,0.0076
2023,Portugal,0.0835,0.1009,0.0427,0.0102,0.0117
2023,Romania,0.0853,0.1089,0.0304,0.1298,0.0106
2023,Slovak Republic,0.0906,0.0397,0.0739,0.005,0.0133
2023,Slovenia,0.1161,0.1035,0.0334,0.0699,0.0135
2023,Spain,0.0881,0.0358,0.0504,0.051,0.0183
2023,Sweden,0.1246,0.0274,0.0698,0.0327,0.0487
2023,Switzerland,0.1126,0.0367,0.0498,0.2351,0.0117
2023,United Kingdom,0.0527,0.0255,0.1077,0.1985,0.0244
2023,United States,0.2158,0.0255,0.1356,0.0977,0.0143
2024,"DAC Countries, Total",0.1029,0.046,0.0963,0.0976,0.0257
2024,Australia,0.0913,0.0386,0.1113,0.0,0.0112
2024,Austria,0.0942,0.12,0.0238,0.0359,0.0215
2024,Belgium,0.0845,0.046,0.0542,0.0927,0.0189
2024,Canada,0.0513,0.0339,0.0955,0.1652,0.0311
2024,Czechia,0.0807,0.0335,0.0357,0.1866,0.0139
2024,Denmark,0.1567,0.0326,0.0532,0.0425,0.0314
2024,Estonia,0.0829,0.0531,0.0363,0.0194,0.0128
2024,Finland,0.1053,0.0407,0.0492,0.1291,0.0246
2024,France,0.0437,0.079,0.059,0.0462,0.0414
2024,Germany,0.0625,0.0798,0.0383,0.132,0.0374
2024,Greece,0.0767,0.0336,0.0276,0.0688,0.0128
2024,Hungary,0.0336,0.4281,0.0732,0.0032,0.0022
2024,Iceland,0.1375,0.053,0.1057,0.0569,0.0142
2024,Ireland,0.1029,0.0333,0.0487,0.3272,0.0208
2024,Italy,0.0689,0.0412,0.037,0.1717,0.0188
2024,Japan,0.0362,0.0252,0.0541,0.0004,0.0099
2024,Korea,0.142,0.0593,0.078,0.0002,0.0146
2024,Latvia,0.0857,0.0317,0.041,0.0984,0.013
2024,Lithuania,0.1531,0.0485,0.0415,0.0466,0.0101
2024,Luxembourg,0.157,0.0939,0.1061,0.0004,0.007
2024,Netherlands,0.0868,0.0137,0.0659,0.1392,0.0151
2024,New Zealand,0.0785,0.0818,0.0588,0.016,0.0707
2024,Norway,0.1356,0.035,0.0763,0.0577,0.08
2024,Poland,0.071,0.0824,0.0284,0.1327,0.0148
2024,Portugal,0.0647,0.0881,0.0374,0.0201,0.011
2024,Romania,0.0808,0.1101,0.0284,0.047,0.0114
2024,Slovak Republic,0.0966,0.0405,0.03,0.0034,0.0136
2024,Slovenia,0.1146,0.089,0.0276,0.0255,0.0157
2024,Spain,0.0843,0.0373,0.0464,0.0647,0.0212
2024,Sweden,0.1422,0.0276,0.0713,0.0199,0.0386
2024,Switzerland,0.0992,0.0374,0.0517,0.2056,0.016
2024,United Kingdom,0.0929,0.0466,0.1025,0.1676,0.0431
2024,United States,0.1821,0.0229,0.2015,0.0937,0.0127
