Donor,Year,Total ODA,ODA short of 0.7% commitment,ODA/GNI
Switzerland,2012,3.37 billion,1.68 billion,0.46756
France,2012,12.47 billion,6.81 billion,0.45269
Germany,2012,14.95 billion,13.20 billion,0.37176
Australia,2012,4.72 billion,4.43 billion,0.36093
Canada,2012,5.53 billion,6.72 billion,0.31587
DAC countries,2012,137.01 billion,200.59 billion,0.28408
Portugal,2012,673.1 million,1.01 billion,0.28053
Austria,2012,1.25 billion,1.88 billion,0.28022
New Zealand,2012,470.1 million,720.0 million,0.27651
Iceland,2012,39.4 million,96.6 million,0.20278
United States,2012,41.18 billion,114.13 billion,0.18561
Japan,2012,6.30 billion,19.18 billion,0.17315
Spain,2012,2.14 billion,7.46 billion,0.15585
Korea,2012,1.64 billion,6.53 billion,0.14069
Italy,2012,2.84 billion,11.67 billion,0.13699
Greece,2012,311.0 million,1.35 billion,0.13083
Slovenia,2012,67.2 million,294.0 million,0.13018
Lithuania,2012,70.6 million,318.0 million,0.12717
Czechia,2012,285.5 million,1.37 billion,0.12051
Estonia,2012,33.7 million,188.2 million,0.10637
Hungary,2012,147.2 million,891.3 million,0.09919
Poland,2012,514.4 million,3.49 billion,0.08992
Slovak Republic,2012,92.1 million,635.7 million,0.08861
Latvia,2012,26.1 million,218.7 million,0.07467
Sweden,2011,4.80 billion,0.0 million,1.0188
Luxembourg,2011,452.8 million,0.0 million,0.97295
Norway,2011,3.68 billion,0.0 million,0.96383
Denmark,2011,2.77 billion,0.0 million,0.85212
Netherlands,2011,6.95 billion,0.0 million,0.75335
United Kingdom,2011,15.40 billion,3.76 billion,0.56249
Belgium,2011,2.95 billion,902.0 million,0.53629
Finland,2011,1.45 billion,460.7 million,0.53112
Ireland,2011,970.4 million,356.0 million,0.5121
France,2011,12.59 billion,6.59 billion,0.45952
Switzerland,2011,3.19 billion,1.68 billion,0.45844
Germany,2011,15.27 billion,12.36 billion,0.38679
Australia,2011,4.33 billion,4.50 billion,0.34357
Canada,2011,5.35 billion,6.37 billion,0.31969
Portugal,2011,755.5 million,956.5 million,0.3089
DAC countries,2011,142.31 billion,183.43 billion,0.30582
Spain,2011,4.04 billion,5.84 billion,0.28635
New Zealand,2011,453.9 million,696.8 million,0.27612
Austria,2011,1.19 billion,1.93 billion,0.26713
United States,2011,42.38 billion,103.34 billion,0.20357
Iceland,2011,37.0 million,93.0 million,0.1992
Italy,2011,4.22 billion,10.68 billion,0.1982
Japan,2011,6.53 billion,18.58 billion,0.18208
Greece,2011,371.7 million,1.40 billion,0.1467
Slovenia,2011,67.1 million,297.6 million,0.1288
Lithuania,2011,66.3 million,304.5 million,0.12514
Czechia,2011,298.4 million,1.38 billion,0.12465
Korea,2011,1.36 billion,6.66 billion,0.11852
Estonia,2011,33.8 million,172.4 million,0.11487
Hungary,2011,159.7 million,877.8 million,0.10773
Slovak Republic,2011,93.2 million,621.1 million,0.09131
Poland,2011,474.7 million,3.47 billion,0.08417
Latvia,2011,22.4 million,208.7 million,0.06773
Norway,2010,3.89 billion,0.0 million,1.05099
Luxembourg,2010,485.4 million,0.0 million,1.04655
Sweden,2010,4.36 billion,0.0 million,0.96953
Denmark,2010,2.86 billion,0.0 million,0.90922
Netherlands,2010,7.33 billion,0.0 million,0.81486
Belgium,2010,3.40 billion,320.0 million,0.63971
United Kingdom,2010,15.41 billion,3.43 billion,0.5726
Finland,2010,1.48 billion,402.0 million,0.55042
Ireland,2010,1.02 billion,344.6 million,0.52269
France,2010,13.25 billion,5.47 billion,0.49545
Spain,2010,6.04 billion,3.83 billion,0.42841
Switzerland,2010,2.83 billion,2.21 billion,0.39303
Germany,2010,14.95 billion,12.11 billion,0.3867
Canada,2010,5.50 billion,5.94 billion,0.33648
Australia,2010,3.92 billion,4.58 billion,0.32273
Austria,2010,1.38 billion,1.62 billion,0.32242
DAC countries,2010,143.39 billion,177.99 billion,0.31232
Portugal,2010,725.2 million,1.00 billion,0.2937
Iceland,2010,45.2 million,77.1 million,0.25853
New Zealand,2010,413.0 million,719.2 million,0.25533
United States,2010,41.42 billion,101.68 billion,0.20263
Japan,2010,7.06 billion,18.09 billion,0.19643
Greece,2010,471.0 million,1.45 billion,0.17124
Italy,2010,3.12 billion,11.63 billion,0.14805
Slovenia,2010,66.7 million,301.4 million,0.12679
Czechia,2010,292.1 million,1.32 billion,0.12662
Korea,2010,1.27 billion,6.42 billion,0.11569
Lithuania,2010,52.3 million,297.3 million,0.10468
Estonia,2010,29.1 million,170.2 million,0.10231
Hungary,2010,137.7 million,906.6 million,0.09232
Slovak Republic,2010,85.2 million,612.7 million,0.08543
Poland,2010,450.4 million,3.33 billion,0.08351
Latvia,2010,20.1 million,200.5 million,0.06374
Sweden,2009,4.68 billion,0.0 million,1.12141
Norway,2009,4.00 billion,0.0 million,1.05854
Luxembourg,2009,497.3 million,0.0 million,1.04284
Denmark,2009,2.75 billion,0.0 million,0.88039
Netherlands,2009,7.10 billion,0.0 million,0.82051
Belgium,2009,2.85 billion,778.3 million,0.54998
Ireland,2009,1.06 billion,302.9 million,0.54468
Finland,2009,1.37 billion,397.5 million,0.54227
United Kingdom,2009,13.38 billion,5.07 billion,0.50755
France,2009,12.43 billion,6.06 billion,0.4706
Spain,2009,6.37 billion,3.34 billion,0.45924
Switzerland,2009,2.96 billion,1.73 billion,0.44173
Germany,2009,13.32 billion,12.95 billion,0.35492
Iceland,2009,58.1 million,66.8 million,0.32538
DAC countries,2009,136.08 billion,175.03 billion,0.30618
Canada,2009,4.80 billion,6.29 billion,0.3031
Austria,2009,1.25 billion,1.65 billion,0.30204
Australia,2009,3.50 billion,4.85 billion,0.29362
New Zealand,2009,442.5 million,672.8 million,0.27772
Portugal,2009,549.2 million,1.09 billion,0.23421
United States,2009,40.76 billion,97.90 billion,0.20578
Greece,2009,542.2 million,1.47 billion,0.18883
Japan,2009,6.31 billion,17.86 billion,0.18274
Italy,2009,3.29 billion,11.23 billion,0.15843
Slovenia,2009,76.7 million,284.2 million,0.1488
Czechia,2009,273.0 million,1.33 billion,0.11952
Lithuania,2009,50.1 million,266.2 million,0.1109
Estonia,2009,27.8 million,168.1 million,0.09944
Korea,2009,1.00 billion,6.18 billion,0.09747
Hungary,2009,140.0 million,889.0 million,0.09523
Poland,2009,467.8 million,3.19 billion,0.08946
Slovak Republic,2009,83.3 million,590.3 million,0.08653
Latvia,2009,25.3 million,212.4 million,0.0745
Sweden,2008,4.37 billion,0.0 million,0.97958
Luxembourg,2008,484.6 million,0.0 million,0.96805
Norway,2008,3.39 billion,0.0 million,0.88903
Denmark,2008,2.67 billion,0.0 million,0.81737
Netherlands,2008,7.49 billion,0.0 million,0.80469
Ireland,2008,1.31 billion,242.1 million,0.59047
Belgium,2008,2.54 billion,1.17 billion,0.4786
Spain,2008,6.43 billion,3.65 billion,0.44664
Finland,2008,1.21 billion,723.6 million,0.4385
United Kingdom,2008,12.00 billion,7.52 billion,0.43037
Austria,2008,1.85 billion,1.17 billion,0.42828
Switzerland,2008,2.66 billion,1.75 billion,0.42173
France,2008,10.39 billion,8.49 billion,0.38523
Germany,2008,15.18 billion,12.57 billion,0.38283
Iceland,2008,66.7 million,64.6 million,0.3557
Canada,2008,5.30 billion,6.10 billion,0.32541
Australia,2008,3.56 billion,4.32 billion,0.31601
New Zealand,2008,454.2 million,591.8 million,0.30394
DAC countries,2008,133.70 billion,182.53 billion,0.29597
Portugal,2008,648.4 million,1.03 billion,0.2703
Italy,2008,4.76 billion,10.54 billion,0.21767
Greece,2008,620.4 million,1.44 billion,0.21078
Japan,2008,7.05 billion,18.87 billion,0.19041
United States,2008,37.61 billion,105.88 billion,0.18346
Slovenia,2008,72.2 million,319.2 million,0.12911
Czechia,2008,297.1 million,1.38 billion,0.12419
Lithuania,2008,60.9 million,326.7 million,0.11
Estonia,2008,31.3 million,184.6 million,0.10162
Slovak Republic,2008,100.5 million,602.3 million,0.10007
Korea,2008,887.2 million,6.35 billion,0.08584
Poland,2008,379.9 million,3.15 billion,0.07539
Hungary,2008,116.3 million,967.3 million,0.07514
Latvia,2008,23.8 million,229.3 million,0.06585
Norway,2007,3.58 billion,0.0 million,0.95191
Sweden,2007,4.19 billion,0.0 million,0.93472
Luxembourg,2007,492.7 million,0.0 million,0.92399
Netherlands,2007,7.19 billion,0.0 million,0.80789
Denmark,2007,2.68 billion,0.0 million,0.80758
Ireland,2007,1.23 billion,329.8 million,0.55153
Austria,2007,2.09 billion,849.2 million,0.49806
Belgium,2007,2.23 billion,1.43 billion,0.42611
Finland,2007,1.11 billion,860.9 million,0.39407
France,2007,10.15 billion,8.57 billion,0.37958
Switzerland,2007,2.44 billion,2.16 billion,0.37077
Spain,2007,5.20 billion,4.71 billion,0.36706
Germany,2007,14.19 billion,12.89 billion,0.36685
United Kingdom,2007,9.61 billion,9.32 billion,0.35531
Australia,2007,3.37 billion,3.94 billion,0.32259
Canada,2007,4.69 billion,6.65 billion,0.28939
DAC countries,2007,119.60 billion,192.03 billion,0.26865
New Zealand,2007,408.3 million,664.7 million,0.26637
Iceland,2007,52.5 million,86.1 million,0.26524
Portugal,2007,527.4 million,1.15 billion,0.2196
Italy,2007,4.19 billion,11.27 billion,0.1899
Japan,2007,6.37 billion,19.85 billion,0.17014
Greece,2007,484.5 million,1.60 billion,0.16239
United States,2007,31.59 billion,109.74 billion,0.15645
Slovenia,2007,63.7 million,306.4 million,0.12043
Lithuania,2007,71.2 million,372.9 million,0.1122
Czechia,2007,254.5 million,1.37 billion,0.1097
Poland,2007,435.6 million,2.57 billion,0.10143
Slovak Republic,2007,86.2 million,562.6 million,0.09304
Estonia,2007,26.1 million,201.0 million,0.08039
Hungary,2007,123.3 million,997.1 million,0.07705
Korea,2007,663.4 million,5.82 billion,0.07167
Latvia,2007,20.6 million,219.7 million,0.05994
Sweden,2006,4.28 billion,0.0 million,1.02481
Luxembourg,2006,424.0 million,0.0 million,0.88967
Norway,2006,3.19 billion,0.0 million,0.88531
Netherlands,2006,7.01 billion,0.0 million,0.80636
Denmark,2006,2.61 billion,0.0 million,0.79819
Ireland,2006,1.16 billion,340.9 million,0.54088
United Kingdom,2006,13.52 billion,4.89 billion,0.51408
Belgium,2006,2.51 billion,1.01 billion,0.49926
Austria,2006,1.94 billion,954.0 million,0.46887
France,2006,12.16 billion,6.04 billion,0.46769
Finland,2006,1.06 billion,811.8 million,0.39587
Switzerland,2006,2.55 billion,2.20 billion,0.37545
Germany,2006,13.38 billion,12.93 billion,0.35604
Spain,2006,4.36 billion,5.32 billion,0.3151
Australia,2006,3.11 billion,4.27 billion,0.29507
DAC countries,2006,129.08 billion,177.49 billion,0.29473
Canada,2006,4.61 billion,6.38 billion,0.29376
Iceland,2006,51.4 million,82.4 million,0.26908
New Zealand,2006,390.6 million,630.1 million,0.26789
Japan,2006,9.05 billion,16.47 billion,0.24823
Portugal,2006,498.9 million,1.15 billion,0.21177
Italy,2006,4.30 billion,10.96 billion,0.19715
United States,2006,35.04 billion,103.18 billion,0.17747
Greece,2006,462.4 million,1.41 billion,0.17298
Hungary,2006,215.3 million,943.3 million,0.13009
Czechia,2006,263.9 million,1.27 billion,0.12014
Slovenia,2006,58.8 million,286.0 million,0.11941
Slovak Republic,2006,85.9 million,496.8 million,0.10323
Poland,2006,419.0 million,2.88 billion,0.08884
Estonia,2006,27.9 million,192.6 million,0.08853
Lithuania,2006,44.5 million,360.3 million,0.0769
Latvia,2006,20.2 million,213.8 million,0.06042
Korea,2006,455.4 million,5.76 billion,0.05131
Sweden,2005,3.75 billion,0.0 million,0.9422
Norway,2005,3.30 billion,0.0 million,0.94045
Netherlands,2005,6.81 billion,0.0 million,0.81881
Denmark,2005,2.54 billion,0.0 million,0.81167
Luxembourg,2005,401.9 million,0.0 million,0.79321
Belgium,2005,2.57 billion,853.7 million,0.52571
Austria,2005,2.09 billion,715.1 million,0.52178
France,2005,11.85 billion,5.66 billion,0.47359
United Kingdom,2005,12.16 billion,5.85 billion,0.47269
Finland,2005,1.16 billion,602.7 million,0.46121
Switzerland,2005,2.78 billion,1.84 billion,0.42182
Ireland,2005,851.9 million,569.3 million,0.4196
Germany,2005,13.12 billion,12.36 billion,0.36035
Canada,2005,5.16 billion,5.54 billion,0.33746
DAC countries,2005,136.84 billion,161.96 billion,0.32058
Italy,2005,6.20 billion,8.77 billion,0.28997
Japan,2005,10.00 billion,14.93 billion,0.28076
Spain,2005,3.62 billion,5.70 billion,0.2719
New Zealand,2005,390.5 million,617.5 million,0.27119
Australia,2005,2.56 billion,4.67 billion,0.24757
United States,2005,42.88 billion,89.92 billion,0.22603
Portugal,2005,494.6 million,1.15 billion,0.21107
Iceland,2005,33.0 million,98.7 million,0.17538
Greece,2005,437.5 million,1.35 billion,0.17156
Czechia,2005,236.7 million,1.22 billion,0.114
Hungary,2005,142.1 million,784.2 million,0.10741
Slovenia,2005,47.8 million,266.8 million,0.10639
Korea,2005,808.5 million,5.14 billion,0.09522
Estonia,2005,20.8 million,169.2 million,0.07651
Poland,2005,303.2 million,2.80 billion,0.06846
Latvia,2005,20.1 million,191.4 million,0.06646
Lithuania,2005,29.6 million,306.9 million,0.0616
Slovak Republic,2005,95.5 million,0.0 million,
Norway,2004,2.96 billion,0.0 million,0.87397
Denmark,2004,2.52 billion,0.0 million,0.84713
Luxembourg,2004,387.3 million,0.0 million,0.79054
Sweden,2004,3.01 billion,0.0 million,0.77729
Netherlands,2004,5.71 billion,0.0 million,0.73349
Portugal,2004,1.40 billion,162.4 million,0.62715
France,2004,10.21 billion,7.16 billion,0.41153
Belgium,2004,1.96 billion,1.39 billion,0.40965
Ireland,2004,738.4 million,590.6 million,0.38892
Switzerland,2004,2.44 billion,1.99 billion,0.38613
Finland,2004,886.0 million,805.0 million,0.36678
United Kingdom,2004,9.11 billion,8.48 billion,0.36267
Germany,2004,9.86 billion,15.14 billion,0.27606
Canada,2004,3.95 billion,6.38 billion,0.2678
DAC countries,2004,104.12 billion,187.97 billion,0.24954
Australia,2004,2.41 billion,4.47 billion,0.24514
Spain,2004,3.05 billion,5.87 billion,0.23934
New Zealand,2004,330.0 million,656.9 million,0.23405
Austria,2004,924.9 million,1.85 billion,0.23291
Japan,2004,6.59 billion,18.03 billion,0.18749
Iceland,2004,29.6 million,87.3 million,0.17722
United States,2004,31.20 billion,97.98 billion,0.16905
Greece,2004,372.4 million,1.29 billion,0.15704
Italy,2004,3.06 billion,11.48 billion,0.14746
Czechia,2004,203.7 million,1.13 billion,0.10656
Hungary,2004,103.5 million,879.0 million,0.07374
Slovak Republic,2004,50.5 million,439.7 million,0.07207
Latvia,2004,16.7 million,171.8 million,0.06213
Korea,2004,514.5 million,5.29 billion,0.06203
Poland,2004,201.9 million,2.71 billion,0.04859
Estonia,2004,11.2 million,159.1 million,0.04606
Lithuania,2004,18.4 million,290.7 million,0.04175
Norway,2003,3.06 billion,0.0 million,0.91945
Luxembourg,2003,361.2 million,0.0 million,0.8566
Denmark,2003,2.42 billion,0.0 million,0.83797
Netherlands,2003,6.01 billion,0.0 million,0.79533
Sweden,2003,2.93 billion,0.0 million,0.79454
Belgium,2003,2.78 billion,454.2 million,0.60176
France,2003,9.77 billion,7.19 billion,0.40315
Ireland,2003,681.1 million,527.0 million,0.39463
Switzerland,2003,2.23 billion,2.09 billion,0.36172
Finland,2003,805.2 million,813.6 million,0.34818
United Kingdom,2003,8.31 billion,8.69 billion,0.34228
Germany,2003,9.87 billion,14.46 billion,0.28402
Australia,2003,2.36 billion,4.32 billion,0.2472
DAC countries,2003,97.59 billion,186.14 billion,0.24077
Canada,2003,3.43 billion,6.66 billion,0.23789
Spain,2003,2.80 billion,5.60 billion,0.23362
New Zealand,2003,303.9 million,638.7 million,0.22571
Portugal,2003,487.9 million,1.07 billion,0.21966
Greece,2003,475.9 million,1.11 billion,0.20947
Japan,2003,6.96 billion,17.04 billion,0.20293
Austria,2003,770.3 million,1.90 billion,0.20161
Italy,2003,3.42 billion,10.88 billion,0.16733
Iceland,2003,27.6 million,88.2 million,0.16678
United States,2003,26.53 billion,98.44 billion,0.14862
Czechia,2003,194.0 million,1.03 billion,0.11137
Korea,2003,477.5 million,5.06 billion,0.06038
Slovak Republic,2003,32.6 million,459.8 million,0.04632
Hungary,2003,36.5 million,914.7 million,0.02684
Poland,2003,52.1 million,2.72 billion,0.01315
Lithuania,2003,4.4 million,282.1 million,0.01077
Latvia,2003,2.0 million,172.6 million,0.00799
Estonia,2003,2.9 million,0.0 million,
Denmark,2002,2.77 billion,0.0 million,0.96414
Norway,2002,2.94 billion,0.0 million,0.8884
Sweden,2002,3.01 billion,0.0 million,0.83638
Netherlands,2002,6.19 billion,0.0 million,0.81054
Luxembourg,2002,335.0 million,0.0 million,0.78263
Belgium,2002,1.96 billion,1.22 billion,0.43246
Ireland,2002,660.5 million,488.7 million,0.40232
France,2002,9.02 billion,7.82 billion,0.3749
Finland,2002,800.4 million,791.8 million,0.35188
Switzerland,2002,1.89 billion,2.28 billion,0.31726
United Kingdom,2002,7.29 billion,9.22 billion,0.30902
Canada,2002,3.92 billion,5.91 billion,0.27906
Portugal,2002,610.6 million,962.8 million,0.27166
Germany,2002,9.41 billion,15.18 billion,0.26791
Spain,2002,3.05 billion,5.08 billion,0.26272
Australia,2002,2.35 billion,4.09 billion,0.2556
Austria,2002,963.8 million,1.68 billion,0.25512
DAC countries,2002,92.42 billion,188.84 billion,0.23001
Japan,2002,7.73 billion,15.97 billion,0.22836
New Zealand,2002,284.4 million,610.7 million,0.22241
Greece,2002,450.5 million,1.07 billion,0.20706
Italy,2002,4.05 billion,10.23 billion,0.19857
Iceland,2002,23.7 million,85.6 million,0.15184
United States,2002,22.03 billion,99.71 billion,0.12669
Czechia,2002,114.9 million,1.12 billion,0.06535
Korea,2002,395.8 million,5.05 billion,0.05092
Slovak Republic,2002,18.8 million,527.9 million,0.02404
Estonia,2002,4.2 million,0.0 million,
Latvia,2002,3.8 million,0.0 million,
Lithuania,2002,4.5 million,0.0 million,
Poland,2002,28.9 million,0.0 million,
Denmark,2001,2.98 billion,0.0 million,1.03014
Netherlands,2001,6.43 billion,0.0 million,0.82176
Norway,2001,2.59 billion,0.0 million,0.79742
Luxembourg,2001,338.5 million,0.0 million,0.77376
Sweden,2001,2.70 billion,0.0 million,0.76625
Belgium,2001,1.70 billion,1.53 billion,0.36833
Austria,2001,1.25 billion,1.31 billion,0.34156
Switzerland,2001,1.97 billion,2.20 billion,0.33109
Ireland,2001,528.0 million,589.6 million,0.3307
Finland,2001,715.6 million,832.2 million,0.32362
United Kingdom,2001,7.18 billion,8.58 billion,0.31902
France,2001,7.41 billion,9.36 billion,0.30942
Spain,2001,3.39 billion,4.45 billion,0.3028
Germany,2001,9.42 billion,14.91 billion,0.27101
New Zealand,2001,288.9 million,506.4 million,0.25429
Australia,2001,2.25 billion,4.00 billion,0.2519
Portugal,2001,557.2 million,996.9 million,0.25098
Japan,2001,7.85 billion,15.83 billion,0.23196
Canada,2001,2.99 billion,6.65 billion,0.21729
DAC countries,2001,85.90 billion,194.39 billion,0.21452
Greece,2001,356.3 million,1.09 billion,0.17197
Italy,2001,3.07 billion,11.25 billion,0.15016
Iceland,2001,20.6 million,88.6 million,0.13211
United States,2001,19.24 billion,100.49 billion,0.11251
Korea,2001,399.3 million,4.68 billion,0.05501
Czechia,2001,80.0 million,1.09 billion,0.04803
Slovak Republic,2001,25.8 million,417.1 million,0.04081
Poland,2001,73.9 million,2.45 billion,0.02047
Estonia,2001,1.8 million,0.0 million,
Lithuania,2001,5.3 million,0.0 million,
Denmark,2000,3.02 billion,0.0 million,1.06082
Netherlands,2000,6.44 billion,0.0 million,0.83673
Sweden,2000,2.65 billion,0.0 million,0.80126
Norway,2000,2.42 billion,0.0 million,0.76411
Luxembourg,2000,293.5 million,1.7 million,0.69605
Belgium,2000,1.59 billion,1.52 billion,0.35774
Switzerland,2000,1.95 billion,2.27 billion,0.3242
United Kingdom,2000,6.84 billion,8.24 billion,0.31749
Finland,2000,684.8 million,857.4 million,0.31083
France,2000,7.18 billion,9.30 billion,0.30483
Ireland,2000,446.0 million,612.5 million,0.29495
Japan,2000,9.45 billion,14.09 billion,0.28097
Germany,2000,9.36 billion,14.90 billion,0.27009
Australia,2000,2.35 billion,3.82 billion,0.26664
Portugal,2000,566.1 million,953.8 million,0.26073
Canada,2000,3.32 billion,5.80 billion,0.25473
New Zealand,2000,282.8 million,504.3 million,0.2515
Austria,2000,858.7 million,1.71 billion,0.23444
DAC countries,2000,82.85 billion,184.23 billion,0.21715
Spain,2000,2.36 billion,5.28 billion,0.21643
Greece,2000,397.0 million,979.2 million,0.20194
Italy,2000,2.60 billion,11.62 billion,0.12811
Iceland,2000,16.0 million,91.6 million,0.10405
United States,2000,17.14 billion,102.51 billion,0.10027
Korea,2000,290.2 million,4.59 billion,0.04161
Czechia,2000,52.0 million,1.06 billion,0.03265
Slovak Republic,2000,18.4 million,399.1 million,0.03089
Poland,2000,65.9 million,2.46 billion,0.01826
Estonia,2000,2.0 million,0.0 million,
